型號,導程,行程,轉速
GTH8D,5,800,1800
GTH8D,5,850,1600
GTH8D,5,900,1400
GTH8D,5,950,1300
GTH8D,5,1000,1200
GTH8D,5,1050,1100
GTH8D,5,1100,1000
GTH8D,10,50,3600
GTH8D,10,100,3600
GTH8D,10,150,3600
GTH8D,10,200,3600
GTH8D,10,250,3600
GTH8D,10,300,3600
GTH8D,10,350,3600
GTH8D,10,400,3600
GTH8D,10,450,3600
GTH8D,10,500,3500
GTH8D,10,550,3000
GTH8D,10,600,3000
GTH8D,10,650,2700
GTH8D,10,700,2400
GTH8D,10,750,2100
GTH8D,10,800,1800
GTH8D,10,850,1600
GTH8D,10,900,1400
GTH8D,10,950,1300
GTH8D,10,1000,1200
GTH8D,10,1050,1100
GTH8D,10,1100,1000
GTH8D,20,50,3600
GTH8D,20,100,3600
GTH8D,20,150,3600
GTH8D,20,200,3600
GTH8D,20,250,3600
GTH8D,20,300,3600
GTH8D,20,350,3600
GTH8D,20,400,3600
GTH8D,20,450,3600
GTH8D,20,500,3500
GTH8D,20,550,3000
GTH8D,20,600,3000
GTH8D,20,650,2700
GTH8D,20,700,2400
GTH8D,20,750,2100
GTH8D,20,800,1800
GTH8D,20,850,1600
GTH8D,20,900,1400
GTH8D,20,950,1300
GTH8D,20,1000,1200
GTH8D,20,1050,1100
GTH8D,20,1100,1000
GTH12D,5,40,3600
GTH12D,5,90,3600
GTH12D,5,140,3600
GTH12D,5,190,3600
GTH12D,5,240,3600
GTH12D,5,290,3600
GTH12D,5,340,3600
GTH12D,5,390,3600
GTH12D,5,440,3000
GTH12D,5,490,3000
GTH12D,5,540,3000
GTH12D,5,590,3000
GTH12D,5,640,2700
GTH12D,5,690,2400
GTH12D,5,740,2100
GTH12D,5,790,2000
GTH12D,5,840,1900
GTH12D,5,890,1700
GTH12D,5,940,1600
GTH12D,5,990,1500
GTH12D,5,1040,1400
GTH12D,10,40,3600
GTH12D,10,90,3600
GTH12D,10,140,3600
GTH12D,10,190,3600
GTH12D,10,240,3600
GTH12D,10,290,3600
GTH12D,10,340,3600
GTH12D,10,390,3600
GTH12D,10,440,3000
GTH12D,10,490,3000
GTH12D,10,540,3000
GTH12D,10,590,3000
GTH12D,10,640,2700
GTH12D,10,690,2400
GTH12D,10,740,2100
GTH12D,10,790,2000
GTH12D,10,840,1900
GTH12D,10,890,1700
GTH12D,10,940,1600
GTH12D,10,990,1500
GTH12D,10,1040,1400
GTH12D,20,40,3600
GTH12D,20,90,3600
GTH12D,20,140,3600
GTH12D,20,190,3600
GTH12D,20,240,3600
GTH12D,20,290,3600
GTH12D,20,340,3600
GTH12D,20,390,3600
GTH12D,20,440,3000
GTH12D,20,490,3000
GTH12D,20,540,3000
GTH12D,20,590,3000
GTH12D,20,640,2700
GTH12D,20,690,2400
GTH12D,20,740,2100
GTH12D,20,790,2000
GTH12D,20,840,1900
GTH12D,20,890,1700
GTH12D,20,940,1600
GTH12D,20,990,1500
GTH12D,20,1040,1400
GTH12D,32,40,3600
GTH12D,32,90,3600
GTH12D,32,140,3600
GTH12D,32,190,3600
GTH12D,32,240,3600
GTH12D,32,290,3600
GTH12D,32,340,3600
GTH12D,32,390,3600
GTH12D,32,440,3000
GTH12D,32,490,3000
GTH12D,32,540,3000
GTH12D,32,590,3000
GTH12D,32,640,2700
GTH12D,32,690,2400
GTH12D,32,740,2100
GTH12D,32,790,2000
GTH12D,32,840,1900
GTH12D,32,890,1700
GTH12D,32,940,1600
GTH12D,32,990,1500
GTH12D,32,1040,1400
GTH3K,2,50,3000
GTH3K,2,100,3000
GTH3K,2,150,3000
GTH3K,2,200,3000
GTH3K,2,250,2700
GTH3K,2,300,2400
GTH3K,8,50,3600
GTH3K,8,100,3600
GTH3K,8,150,3600
GTH3K,8,200,3600
GTH3K,8,250,3000
GTH3K,8,300,2400
GTH4K,2,50,3000
GTH4K,2,100,3000
GTH4K,2,150,3000
GTH4K,2,200,3000
GTH4K,2,250,3000
GTH4K,2,300,3000
GTH4K,2,350,3000
GTH4K,2,400,3000
GTH4K,2,450,3000
GTH4K,2,500,3000
GTH4K,2,550,3000
GTH4K,2,600,2700
GTH4K,2,650,2400
GTH4K,2,700,2100
GTH4K,2,750,1800
GTH4K,2,800,1500
GTH4K,6,50,3600
GTH4K,6,100,3600
GTH4K,6,150,3600
GTH4K,6,200,3600
GTH4K,6,250,3600
GTH4K,6,300,3600
GTH4K,6,350,3600
GTH4K,6,400,3600
GTH4K,6,450,3600
GTH4K,6,500,3300
GTH4K,6,550,3200
GTH4K,6,600,2700
GTH4K,6,650,2400
GTH4K,6,700,2100
GTH4K,6,750,1800
GTH4K,6,800,1500
GTH4K,12,50,3600
GTH4K,12,100,3600
GTH4K,12,150,3600
GTH4K,12,200,3600
GTH4K,12,250,3600
GTH4K,12,300,3600
GTH4K,12,350,3600
GTH4K,12,400,3600
GTH4K,12,450,3600
GTH4K,12,500,3300
GTH4K,12,550,3200
GTH4K,12,600,2700
GTH4K,12,650,2400
GTH4K,12,700,2100
GTH4K,12,750,1800
GTH4K,12,800,1500
GTH5K,2,50,3000
GTH5K,2,100,3000
GTH5K,2,150,3000
GTH5K,2,200,3000
GTH5K,2,250,3000
GTH5K,2,300,3000
GTH5K,2,350,3000
GTH5K,2,400,3000
GTH5K,2,450,3000
GTH5K,2,500,3000
GTH5K,2,550,3000
GTH5K,2,600,3000
GTH5K,2,650,2700
GTH5K,2,700,2400
GTH5K,2,750,2100
GTH5K,2,800,1800
GTH5K,5,50,3600
GTH5K,5,100,3600
GTH5K,5,150,3600
GTH5K,5,200,3600
GTH5K,5,250,3600
GTH5K,5,300,3600
GTH5K,5,350,3600
GTH5K,5,400,3600
GTH5K,5,450,3600
GTH5K,5,500,3600
GTH5K,5,550,3500
GTH5K,5,600,3000
GTH5K,5,650,2700
GTH5K,5,700,2400
GTH5K,5,750,2100
GTH5K,5,800,1800
GTH5K,10,50,3600
GTH5K,10,100,3600
GTH5K,10,150,3600
GTH5K,10,200,3600
GTH5K,10,250,3600
GTH5K,10,300,3600
GTH5K,10,350,3600
GTH5K,10,400,3600
GTH5K,10,450,3600
GTH5K,10,500,3600
GTH5K,10,550,3500
GTH5K,10,600,3000
GTH5K,10,650,2700
GTH5K,10,700,2400
GTH5K,10,750,2100
GTH5K,10,800,1800
GTH5K,20,50,3600
GTH5K,20,100,3600
GTH5K,20,150,3600
GTH5K,20,200,3600
GTH5K,20,250,3600
GTH5K,20,300,3600
GTH5K,20,350,3600
GTH5K,20,400,3600
GTH5K,20,450,3600
GTH5K,20,500,3600
GTH5K,20,550,3500
GTH5K,20,600,3000
GTH5K,20,650,2700
GTH5K,20,700,2400
GTH5K,20,750,2100
GTH5K,20,800,1800
GTH8K,5,50,3600
GTH8K,5,100,3600
GTH8K,5,150,3600
GTH8K,5,200,3600
GTH8K,5,250,3600
GTH8K,5,300,3600
GTH8K,5,350,3600
GTH8K,5,400,3600
GTH8K,5,450,3600
GTH8K,5,500,3600
GTH8K,5,550,3600
GTH8K,5,600,3600
GTH8K,5,650,3500
GTH8K,5,700,3000
GTH8K,5,750,3000
GTH8K,5,800,2700
GTH8K,5,850,2400
GTH8K,5,900,2100
GTH8K,5,950,1800
GTH8K,5,1000,1600
GTH8K,5,1050,1400
GTH8K,5,1100,1300
GTH8K,10,50,3600
GTH8K,10,100,3600
GTH8K,10,150,3600
GTH8K,10,200,3600
GTH8K,10,250,3600
GTH8K,10,300,3600
GTH8K,10,350,3600
GTH8K,10,400,3600
GTH8K,10,450,3600
GTH8K,10,500,3600
GTH8K,10,550,3600
GTH8K,10,600,3600
GTH8K,10,650,3500
GTH8K,10,700,3000
GTH8K,10,750,3000
GTH8K,10,800,2700
GTH8K,10,850,2400
GTH8K,10,900,2100
GTH8K,10,950,1800
GTH8K,10,1000,1600
GTH8K,10,1050,1400
GTH8K,10,1100,1300
GTH8K,20,50,3600
GTH8K,20,100,3600
GTH8K,20,150,3600
GTH8K,20,200,3600
GTH8K,20,250,3600
GTH8K,20,300,3600
GTH8K,20,350,3600
GTH8K,20,400,3600
GTH8K,20,450,3600
GTH8K,20,500,3600
GTH8K,20,550,3600
GTH8K,20,600,3600
GTH8K,20,650,3500
GTH8K,20,700,3000
GTH8K,20,750,3000
GTH8K,20,800,2700
GTH8K,20,850,2400
GTH8K,20,900,2100
GTH8K,20,950,1800
GTH8K,20,1000,1600
GTH8K,20,1050,1400
GTH8K,20,1100,1300
GTY4,2,50,3000
GTY4,2,100,3000
GTY4,2,150,3000
GTY4,2,200,3000
GTY4,2,250,3000
GTY4,2,300,3000
GTY4,2,350,3000
GTY4,2,400,3000
GTY4,2,450,3000
GTY4,2,500,3000
GTY4,6,50,3600
GTY4,6,100,3600
GTY4,6,150,3600
GTY4,6,200,3600
GTY4,6,250,3600
GTY4,6,300,3600
GTY4,6,350,3600
GTY4,6,400,3600
GTY4,6,450,3600
GTY4,6,500,3300
GTY4,12,50,3600
GTY4,12,100,3600
GTY4,12,150,3600
GTY4,12,200,3600
GTY4,12,250,3600
GTY4,12,300,3600
GTY4,12,350,3600
GTY4,12,400,3600
GTY4,12,450,3600
GTY4,12,500,3300
GTY5,2,50,3000
GTY5,2,100,3000
GTY5,2,150,3000
GTY5,2,200,3000
GTY5,2,250,3000
GTY5,2,300,3000
GTY5,2,350,3000
GTY5,2,400,3000
GTY5,2,450,3000
GTY5,2,500,3000
GTY5,2,550,3000
GTY5,2,600,3000
GTY5,5,50,3600
GTY5,5,100,3600
GTY5,5,150,3600
GTY5,5,200,3600
GTY5,5,250,3600
GTY5,5,300,3600
GTY5,5,350,3600
GTY5,5,400,3600
GTY5,5,450,3600
GTY5,5,500,3600
GTY5,5,550,3500
GTY5,5,600,3000
GTY5,10,50,3600
GTY5,10,100,3600
GTY5,10,150,3600
GTY5,10,200,3600
GTY5,10,250,3600
GTY5,10,300,3600
GTY5,10,350,3600
GTY5,10,400,3600
GTY5,10,450,3600
GTY5,10,500,3600
GTY5,10,550,3500
GTY5,10,600,3000
GTY5,20,50,3600
GTY5,20,100,3600
GTY5,20,150,3600
GTY5,20,200,3600
GTY5,20,250,3600
GTY5,20,300,3600
GTY5,20,350,3600
GTY5,20,400,3600
GTY5,20,450,3600
GTY5,20,500,3600
GTY5,20,550,3500
GTY5,20,600,3000
GTY8,5,50,3600
GTY8,5,100,3600
GTY8,5,150,3600
GTY8,5,200,3600
GTY8,5,250,3600
GTY8,5,300,3600
GTY8,5,350,3600
GTY8,5,400,3600
GTY8,5,450,3600
GTY8,5,500,3600
GTY8,5,550,3600
GTY8,5,600,3600
GTY8,5,650,3500
GTY8,5,700,3000
GTY8,5,750,2700
GTY8,5,800,2700
GTY8,10,50,3600
GTY8,10,100,3600
GTY8,10,150,3600
GTY8,10,200,3600
GTY8,10,250,3600
GTY8,10,300,3600
GTY8,10,350,3600
GTY8,10,400,3600
GTY8,10,450,3600
GTY8,10,500,3600
GTY8,10,550,3600
GTY8,10,600,3600
GTY8,10,650,3500
GTY8,10,700,3000
GTY8,10,750,2700
GTY8,10,800,2700
GTY8,20,50,3600
GTY8,20,100,3600
GTY8,20,150,3600
GTY8,20,200,3600
GTY8,20,250,3600
GTY8,20,300,3600
GTY8,20,350,3600
GTY8,20,400,3600
GTY8,20,450,3600
GTY8,20,500,3600
GTY8,20,550,3600
GTY8,20,600,3600
GTY8,20,650,3500
GTY8,20,700,3000
GTY8,20,750,2700
GTY8,20,800,2700
GTY12,5,50,3600
GTY12,5,100,3600
GTY12,5,150,3600
GTY12,5,200,3600
GTY12,5,250,3600
GTY12,5,300,3600
GTY12,5,350,3600
GTY12,5,400,3600
GTY12,5,450,3600
GTY12,5,500,3600
GTY12,5,550,3600
GTY12,5,600,3600
GTY12,5,650,3000
GTY12,5,700,3000
GTY12,5,750,3000
GTY12,5,800,3000
GTY12,10,50,3600
GTY12,10,100,3600
GTY12,10,150,3600
GTY12,10,200,3600
GTY12,10,250,3600
GTY12,10,300,3600
GTY12,10,350,3600
GTY12,10,400,3600
GTY12,10,450,3600
GTY12,10,500,3600
GTY12,10,550,3600
GTY12,10,600,3600
GTY12,10,650,3000
GTY12,10,700,3000
GTY12,10,750,3000
GTY12,10,800,3000
GTY12,20,50,3600
GTY12,20,100,3600
GTY12,20,150,3600
GTY12,20,200,3600
GTY12,20,250,3600
GTY12,20,300,3600
GTY12,20,350,3600
GTY12,20,400,3600
GTY12,20,450,3600
GTY12,20,500,3600
GTY12,20,550,3600
GTY12,20,600,3600
GTY12,20,650,3000
GTY12,20,700,3000
GTY12,20,750,3000
GTY12,20,800,3000
GTY12,32,50,3600
GTY12,32,100,3600
GTY12,32,150,3600
GTY12,32,200,3600
GTY12,32,250,3600
GTY12,32,300,3600
GTY12,32,350,3600
GTY12,32,400,3600
GTY12,32,450,3600
GTY12,32,500,3600
GTY12,32,550,3600
GTY12,32,600,3600
GTY12,32,650,3000
GTY12,32,700,3000
GTY12,32,750,3000
GTY12,32,800,3000
ETH13,5,50,3600
ETH13,5,100,3600
ETH13,5,150,3600
ETH13,5,200,3600
ETH13,5,250,3600
ETH13,5,300,3600
ETH13,5,350,3600
ETH13,5,400,3600
ETH13,5,450,3600
ETH13,5,500,3600
ETH13,5,550,3600
ETH13,5,600,3600
ETH13,5,650,3600
ETH13,5,700,3200
ETH13,5,750,3000
ETH13,5,800,2700
ETH13,5,850,2400
ETH13,5,900,2100
ETH13,5,950,1800
ETH13,5,1000,1500
ETH13,5,1050,1200
ETH13,10,50,3600
ETH13,10,100,3600
ETH13,10,150,3600
ETH13,10,200,3600
ETH13,10,250,3600
ETH13,10,300,3600
ETH13,10,350,3600
ETH13,10,400,3600
ETH13,10,450,3600
ETH13,10,500,3600
ETH13,10,550,3600
ETH13,10,600,3600
ETH13,10,650,3600
ETH13,10,700,3200
ETH13,10,750,3000
ETH13,10,800,2700
ETH13,10,850,2400
ETH13,10,900,2100
ETH13,10,950,1800
ETH13,10,1000,1500
ETH13,10,1050,1200
ETH13,20,50,3600
ETH13,20,100,3600
ETH13,20,150,3600
ETH13,20,200,3600
ETH13,20,250,3600
ETH13,20,300,3600
ETH13,20,350,3600
ETH13,20,400,3600
ETH13,20,450,3600
ETH13,20,500,3600
ETH13,20,550,3600
ETH13,20,600,3600
ETH13,20,650,3600
ETH13,20,700,3200
ETH13,20,750,3000
ETH13,20,800,2700
ETH13,20,850,2400
ETH13,20,900,2100
ETH13,20,950,1800
ETH13,20,1000,1500
ETH13,20,1050,1200
ETH13,32,50,3600
ETH13,32,100,3600
ETH13,32,150,3600
ETH13,32,200,3600
ETH13,32,250,3600
ETH13,32,300,3600
ETH13,32,350,3600
ETH13,32,400,3600
